# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.775718448985857378e+01 2.232861127178203953e-02 1.181781231059639836e-01 8.212331331322150763e-02 2.205046718969281071e-09 9.740064998306854349e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.620581357839094494e+01 2.204976448058867597e-02 1.214041689864795159e-01 5.284438034614673957e-02 2.093468625935242025e-09 9.656684384785462205e-01
6.618029964005468457e+01 2.189262594506344653e-02 1.208850532811579087e-01 5.038600873143192493e-02 2.082362480156798825e-09 9.650333002897897305e-01
6.847746706932764482e+01 2.220165874534817466e-02 1.161389942900616784e-01 7.272285532965927501e-02 2.158153064929481966e-09 9.761713590846451405e-01
6.847746706932764482e+01 2.220165874534817466e-02 1.161389942900616784e-01 7.272285532965927501e-02 2.158153064929481966e-09 9.761713590846451405e-01
6.847746706932764482e+01 2.220165874534817466e-02 1.161389942900616784e-01 7.272285532965927501e-02 2.158153064929481966e-09 9.761713590846451405e-01
6.847746706932764482e+01 2.220165874534817466e-02 1.161389942900616784e-01 7.272285532965927501e-02 2.158153064929481966e-09 9.761713590846451405e-01
6.847746706932764482e+01 2.220165874534817466e-02 1.161389942900616784e-01 7.272285532965927501e-02 2.158153064929481966e-09 9.761713590846451405e-01
6.878167684932115833e+01 2.242687192755468684e-02 1.161971181396116992e-01 6.579895161774600154e-02 2.129345881691000925e-09 9.766814728871907603e-01
6.878167684932115833e+01 2.242687192755468684e-02 1.161971181396116992e-01 6.579895161774600154e-02 2.129345881691000925e-09 9.766814728871907603e-01
6.878167684932115833e+01 2.242687192755468684e-02 1.161971181396116992e-01 6.579895161774600154e-02 2.129345881691000925e-09 9.766814728871907603e-01
6.878167684932115833e+01 2.242687192755468684e-02 1.161971181396116992e-01 6.579895161774600154e-02 2.129345881691000925e-09 9.766814728871907603e-01
6.939250425256851429e+01 2.259161695958007005e-02 1.148443492466810212e-01 8.723215386541736949e-02 2.209958187147866037e-09 9.799751271848090584e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.839865312364500483e+01 2.241475114480125097e-02 1.173102934604745712e-01 8.011479580426361657e-02 2.193638301270744389e-09 9.719945916542398479e-01
6.881310597887677716e+01 2.232612855707331173e-02 1.162815923891980241e-01 8.563132605094431193e-02 2.210499722860135126e-09 9.776312321197002664e-01
6.834886676446048170e+01 2.237305492788426581e-02 1.176143318882076211e-01 8.452012562207174284e-02 2.216701600804631359e-09 9.754341520942344523e-01
