# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.650069208829962975e+01 2.221868374047025751e-02 1.226401261670040793e-01 5.947332353183564652e-02 2.139623332008122226e-09 9.633993430324658824e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
6.701770115577916442e+01 2.245457349164899780e-02 1.219678908585513089e-01 5.902951535364365371e-02 2.135741282340999533e-09 9.630785532416272776e-01
